group_id,scenario_key,scenario_label,rep,n_stays,mean_index_count,mean_late_count,sd_index_count,sd_late_count,total_count_latent_level_correlation,observed_error_lag1_correlation,treatment_trigger_fraction,selected_shape_solver_converged_fraction
44,ideal_large_dense,"Ideal: large, dense",45,600,11.856666666666667,11.971666666666666,2.573679972962373,2.5733053432381707,-0.0208450753195697,0.0227262560089334,0.0,1.0
45,ideal_large_dense,"Ideal: large, dense",46,600,12.021666666666668,11.935,2.6582527598244075,2.6106450248440334,0.0783577776212266,0.0042809868568439,0.0,1.0
46,ideal_large_dense,"Ideal: large, dense",47,600,11.998333333333331,12.006666666666666,2.5526176728726906,2.566632337938661,0.0178616220973703,0.013496060166283,0.0,1.0
47,ideal_large_dense,"Ideal: large, dense",48,600,12.203333333333331,12.153333333333334,2.5572553281943096,2.5000478570822846,0.0726792252157496,0.03057731207671,0.0,1.0
48,ideal_large_dense,"Ideal: large, dense",49,600,12.028333333333334,11.896666666666668,2.546567408263577,2.547575145262023,-0.0023637394317012,0.0249136710235537,0.0,1.0
49,ideal_large_dense,"Ideal: large, dense",50,600,11.726666666666668,12.148333333333332,2.643912380674398,2.644741004431832,-0.044053068935271,0.0007579523324022,0.0,1.0
50,ideal_large_dense,"Ideal: large, dense",51,600,11.94,11.995,2.5911883557855453,2.542127525110258,-0.0117872862899962,0.0210327471035458,0.0,1.0
51,ideal_large_dense,"Ideal: large, dense",52,600,12.028333333333334,12.096666666666666,2.621510585866204,2.5803913633793147,0.0073528799156213,0.0164811813678801,0.0,1.0
52,ideal_large_dense,"Ideal: large, dense",53,600,12.13,11.925,2.5944141872411706,2.5370789534475886,0.0104940597644502,0.0275288994949932,0.0,1.0
53,ideal_large_dense,"Ideal: large, dense",54,600,12.078333333333331,11.846666666666666,2.612196362952051,2.5931376413398843,0.0541376416738691,0.0139584087109865,0.0,1.0
54,ideal_large_dense,"Ideal: large, dense",55,600,12.075,11.96,2.5600060647883085,2.604426692638685,-0.0493801860979354,0.0177677063414332,0.0,1.0
55,ideal_large_dense,"Ideal: large, dense",56,600,11.915,11.881666666666666,2.5281932815315566,2.530151510614861,0.0468782655392018,0.0359770776066679,0.0,1.0
56,ideal_large_dense,"Ideal: large, dense",57,600,12.0,12.015,2.551637007693633,2.6444464123983957,0.0542897340795543,0.0072871826463582,0.0,1.0
57,ideal_large_dense,"Ideal: large, dense",58,600,12.075,11.816666666666666,2.5943385774459045,2.4738476291752862,-0.0982503786681619,0.0053703060580537,0.0,1.0
58,ideal_large_dense,"Ideal: large, dense",59,600,11.855,11.99,2.595226451369864,2.663028263566547,0.070846381840199,0.0144374158172874,0.0,1.0
59,ideal_large_dense,"Ideal: large, dense",60,600,11.911666666666669,11.92,2.562839075928113,2.586132273020065,-0.0411925981053352,0.0169513162627308,0.0,1.0
1000040,ideal_small_dense,"Ideal: small, dense",41,240,11.854166666666666,12.125,2.6353692057787814,2.553404487539616,-0.0258921593271178,0.0112969809629557,0.0,1.0
1000041,ideal_small_dense,"Ideal: small, dense",42,240,11.891666666666667,11.979166666666666,2.667943383355837,2.573518043175433,-0.0444765724095364,0.016159382021298,0.0,1.0
1000042,ideal_small_dense,"Ideal: small, dense",43,240,12.05,12.2125,2.5246897982536107,2.701434997556873,-0.0250412519849627,0.0020161651183179,0.0,1.0
